workspace_id,title,doi,doi_url,publisher,screening_status,prisma_status
SCI-000433,Application of unmanned aerial systems to address real-world issues in precision agriculture,10.1016/b978-0-323-91940-1.00003-7,https://doi.org/10.1016/b978-0-323-91940-1.00003-7,Elsevier,PROVISIONAL_FULLTEXT_ELIGIBILITY,NOT_RETRIEVED_PAYWALL_OR_RESTRICTED
SCI-000107,Improving weed segmentation in sugar beet fields using potentials of multispectral unmanned aerial vehicle images and lightweight deep learning,10.1117/1.jrs.15.034510,https://doi.org/10.1117/1.jrs.15.034510,Other,CONFIRMED_INCLUSION,NOT_RETRIEVED_PAYWALL_OR_RESTRICTED
SCI-000109,Test-Time Adaptive Latent Feature Restoration for UAV Crop–Weed Segmentation under Altitude-Induced Resolution Shifts,10.13031/aim.202601493,https://doi.org/10.13031/aim.202601493,Other,CONFIRMED_INCLUSION,NOT_RETRIEVED_PAYWALL_OR_RESTRICTED
SCI-000148,Sustainable Cotton Crop Productivity through Precision Weed Detection: A Deep Learning-Based Approach with UAV Integration,10.37591/joaet.v15i01.197425,https://doi.org/10.37591/joaet.v15i01.197425,Other,PROVISIONAL_FULLTEXT_ELIGIBILITY,NOT_RETRIEVED_PAYWALL_OR_RESTRICTED
SCI-000426,Real-time monitoring using unmanned aerial vehicle (UAV),10.1063/5.0224709,https://doi.org/10.1063/5.0224709,Other,PROVISIONAL_FULLTEXT_ELIGIBILITY,NOT_RETRIEVED_PAYWALL_OR_RESTRICTED
SCI-000450,Real-time human search and monitoring system using unmanned aerial vehicle,10.1504/ijvas.2023.10061509,https://doi.org/10.1504/ijvas.2023.10061509,Other,PROVISIONAL_FULLTEXT_ELIGIBILITY,NOT_RETRIEVED_PAYWALL_OR_RESTRICTED
SCI-001127,AI in weed management,10.33545/26180723.2025.v8.i5d.1892,https://doi.org/10.33545/26180723.2025.v8.i5d.1892,Other,PROVISIONAL_FULLTEXT_ELIGIBILITY,NOT_RETRIEVED_PAYWALL_OR_RESTRICTED
SCI-001221,Semantic segmentation of remote sensing image based on Contextual U-Net,10.1117/12.2692004,https://doi.org/10.1117/12.2692004,Other,PROVISIONAL_FULLTEXT_ELIGIBILITY,NOT_RETRIEVED_PAYWALL_OR_RESTRICTED
SCI-000369,A Real-Time Aerial Semantic Segmentation System Based on U-Net Deep Learning Using Drone Images,10.1007/978-981-97-8160-7_27,https://doi.org/10.1007/978-981-97-8160-7_27,Springer,PROVISIONAL_FULLTEXT_ELIGIBILITY,NOT_RETRIEVED_PAYWALL_OR_RESTRICTED
SCI-000408,Enhanced Agricultural Productivity: UAV-Based Technology for Precision Crop Yield Estimation and Disease Detection,10.1007/978-981-96-8402-1_7,https://doi.org/10.1007/978-981-96-8402-1_7,Springer,PROVISIONAL_FULLTEXT_ELIGIBILITY,NOT_RETRIEVED_PAYWALL_OR_RESTRICTED
SCI-000439,Applications of UAV-AD (Unmanned Aerial Vehicle-Agricultural Drones) in Precision Farming,10.1007/978-3-031-51195-0_15,https://doi.org/10.1007/978-3-031-51195-0_15,Springer,PROVISIONAL_FULLTEXT_ELIGIBILITY,NOT_RETRIEVED_PAYWALL_OR_RESTRICTED
SCI-001399,Real-Time Semantic Segmentation for UAV Perspectives on Embedded Platforms,10.1007/978-981-96-9863-9_36,https://doi.org/10.1007/978-981-96-9863-9_36,Springer,PROVISIONAL_FULLTEXT_ELIGIBILITY,NOT_RETRIEVED_PAYWALL_OR_RESTRICTED
