study_id,title,authors,year,model_architecture,model_architecture_citation,benchmark_dataset,benchmark_dataset_citation,sensor_bands,sensor_bands_citation,segmentation_accuracy,segmentation_accuracy_citation,edge_efficiency,edge_efficiency_citation,accuracy_vs_rgb,accuracy_vs_rgb_citation,crop_weed_domain,crop_weed_domain_citation,domain_shift_robustness,domain_shift_robustness_citation
10.1016/j.compag.2024.109719,Research on unmanned aerial vehicle (UAV) rice field weed sensing image segmentation method based on CNN-transformer,"Guo, Zhonghui and Cai, Dongdong and Jin, Zhongyu and Xu, Tongyu and Yu, Fenghua",2025,"The CTFFNet network, which integrates the CBAM module for 
feature fusion, achieved a significant improvement in image segmenta­
tion accuracy compared to the “Concat + DCN” model that uses only 
simple convolutions for feature fusion",[uav-multispectral-weed-detection#abstractin#chk-1010-30a4d8-abstract-intro-45],Rice-Weed (rice field UAV weed sensing image segmentation),,UAV multispectral,,mIoU 72.8,,0.091M params,,0,,"Rice (Oryza), paddy weeds",,0,
10.1016/j.cropro.2024.106721,Weed species classification with UAV imagery and standard CNN models: Assessing the frontiers of training and inference phases,"Mesías-Ruiz, G.A. and Borra-Serrano, I. and Peña, J.M. and de Castro, A.I. and Fernández-Quintanilla, C. and Dorado, J.",2024,"ReLu activation was used in all layers, 
and the final layer employed a softmax classifier",[uav-multispectral-weed-detection#abstractin#chk-1010-98b510-abstract-intro-17],Weed species classification dataset,,UAV RGB + multispectral,,Weed species classification — F1 > 80% at label ratio ~1:107 (transfer learning),,0,,0,,Multiple crop/weed species (transfer learning frontiers),,0,
10.1016/j.neucom.2023.126914,Weed mapping in multispectral drone imagery using lightweight vision transformers,"Castellano, Giovanna and De Marinis, Pasquale and Vessio, Gennaro",2023,"The first encoder is fed with visible channels and
inherits the weights already pre-trained on RGB images",[uav-multispectral-weed-detection#abstractin#chk-1010-ae8063-abstract-intro-21],Rheinbach (UAV) crop/weed segmentation,,"First encoder fed with visible (RGB) channels, pre-trained on RGB; multispectral fusion",,Rheinbach F1 best (reported per config),,GFLOPs reported per config (lightweight transformer),,0,,Weed mapping in multispectral drone imagery,,0,
10.1016/j.robot.2021.103861,Multi-Spectral Image Synthesis for Crop/Weed Segmentation in Precision Farming,"Fawakherji, Mulham and Potena, Ciro and Pretto, Alberto and Bloisi, Domenico D. and Nardi, Daniele",2021,"We point out that in the synthetic datasets we replaced with
synthetically generated samples only the plants whose stem is totally framed
into the image",[uav-multispectral-weed-detection#abstractin#chk-1010-dd898e-abstract-intro-35],Crop/weed segmentation (Sugar Beet / Sunflower fields),,RGB + NIR multispectral,,mIoU improves with synthetic augmentation (~ +9%),,0,,0,,"Sugar beet, sunflower; crop/weed",,Synthetic-to-real domain adaptation via multispectral synthesis,
10.1007/978-3-030-82064-0_2,A Multispectral U-Net Framework for Crop-Weed Semantic Segmentation,"Rosas, Daniel Leyva and Gonzalez, Uziel Grajeda and Huitron, Victor Gonzalez",2022,"Altogether, Fully
Convolutional Networks are especially useful compared to CNN",[uav-multispectral-weed-detection#abstractin#chk-1010-b9fed5-abstract-intro-04],Sunflower (NIR+RGB) crop-weed segmentation,,NIR + RGB multispectral,,IoU-based (proceedings volume),,0,,0,,Sunflower; crop/weed,,0,
10.1017/wsc.2023.41,Black-grass (Alopecurus myosuroides) in cereal multispectral detection by UAV,"Cox, Jonathan and Li, Xiaodong and Fox, Charles and Coutts, Shaun",2023,"The data sets with RGB and
VARI images contain four features",[uav-multispectral-weed-detection#abstractin#chk-1010-457165-abstract-intro-28],Cereal field UAV multispectral detection,,RGB + VARI (visible atmospherically resistant index) — 4 features,,0,,0,,0,,"Cereal (black-grass, Alopecurus myosuroides)",,0,
10.1016/j.eswa.2023.122980,Cross-domain transfer learning for weed segmentation and mapping in precision farming using ground and UAV images,"Gao, Junfeng and Liao, Wenzhi and Nuyttens, David and Lootens, Peter and Alexandersson, Erik and Pieters, Jan",2023,"3, also has 
the encoder-decoder symmetric architecture",[uav-multispectral-weed-detection#abstractin#chk-1010-1713c4-abstract-intro-17],Ground (RGB) + UAV (MSI) crop/weed segmentation,,RGB (ground) + multispectral (UAV),,mOA 0.859 / mIOU 0.767; field mIOU 0.617 best,,0,,0,,Cross-domain transfer weed segmentation and mapping,,Ground (RGB) → UAV (MSI) cross-domain transfer,
10.1109/wacv61041.2025.00467,WeedsGalore: A Multispectral and Multitemporal UAV-Based Dataset for Crop and Weed Segmentation in Agricultural Maize Fields,"Celikkan, Ekin and Kunzmann, Timo and Yeskaliyev, Yertay and Itzerott, Sibylle and Klein, Nadja and Herold, Martin",2025,"The International Journal of
Robotics Research, 36(10):1045–1052, 2017",[uav-multispectral-weed-detection#abstractin#chk-1011-3d0671-abstract-intro-33],"WeedsGalore — multispectral & multitemporal UAV dataset, maize fields (Marquardt, Potsdam)",,Multispectral (MSI),,mIoU 80.27 (DeepLabv3+ MSI),,0,,0,,Maize (Zea mays); crop/weed,,OOD Maize2024 (cross-year): mIoU 52.55 (+23.22 pp over runner-up),
10.1007/978-3-032-26214-1_21,CLIP Meets DINOv3 for Effective Crop and Weed Multispectral Semantic Segmentation,"Papadeas, Ilias and Sandalis, Georgios and Zamanakos, Georgios and Pratikakis, Ioannis",2026,"352
I",[uav-multispectral-weed-detection#abstractin#chk-1010-dc604e-abstract-intro-17],WeedsGalore (multispectral crop/weed),,Multispectral (MSI),,mIoU 85.42 (WeedsGalore entry),,0,,0,,Crop/weed (WeedsGalore),,0,
10.3390/rs18060915,BAWSeg: A UAV Multispectral Benchmark for Barley Weed Segmentation,"Wang, Haitian and Wang, Xinyu and Ibrahim, Muhammad and Severtson, Dustin and Mian, Ajmal",2026,Remote Sens,[uav-multispectral-weed-detection#abstractin#chk-1033-c65635-abstract-intro-32],BAWSeg — UAV multispectral barley weed segmentation benchmark,,Multispectral (UAV),,mIoU 75.6; weed IoU 63.5,,"22.8M params; 33.6 GFLOPs; 78 FPS (RTX 4090, 256x256)",,0,,Barley (Hordeum vulgare); weed segmentation,,"Cross-plot mIoU ~0.71; cross-year mIoU 0.692 ± 0.007, weed IoU 0.544",
